"Date","Price","Open","High","Low","Vol.","Change %"
"16-10-2025","621.65","621.95","628.25","620.30","507.03K","0.43%"
"15-10-2025","619.00","619.20","624.70","613.70","733.69K","0.36%"
"14-10-2025","616.75","626.00","631.90","615.10","778.96K","-1.38%"
"13-10-2025","625.35","625.00","628.40","620.15","713.90K","-0.43%"
"10-10-2025","628.05","628.50","632.90","626.20","635.87K","0.06%"
"09-10-2025","627.70","625.40","632.00","624.05","697.06K","-0.25%"
"08-10-2025","629.25","638.00","638.40","627.20","742.14K","-1.08%"
"07-10-2025","636.10","635.60","655.70","633.50","1.78M","0.42%"
"06-10-2025","633.45","640.00","641.00","630.55","836.26K","-0.60%"
"03-10-2025","637.25","644.60","644.60","631.95","1.12M","-0.60%"
"01-10-2025","641.10","630.05","651.90","626.15","2.23M","2.53%"
"30-09-2025","625.30","635.00","637.40","618.00","1.55M","-0.70%"
"29-09-2025","629.70","658.80","658.80","627.35","2.06M","-3.01%"
"26-09-2025","649.25","674.50","681.95","646.50","3.16M","-3.34%"
"25-09-2025","671.70","668.00","705.00","663.25","8.17M","0.66%"
"24-09-2025","667.30","724.00","724.75","662.50","6.31M","-7.70%"
"23-09-2025","722.95","790.00","798.00","716.20","14.83M","-7.40%"
"22-09-2025","780.75","656.00","781.70","652.35","38.85M","19.85%"
"19-09-2025","651.45","635.00","687.75","634.25","16.38M","7.33%"
"18-09-2025","606.95","608.00","610.95","605.15","320.50K","-0.02%"
"17-09-2025","607.05","610.00","612.55","605.00","321.53K","0.20%"
"16-09-2025","605.85","609.70","609.70","604.00","267.04K","0.11%"
"15-09-2025","605.20","607.00","609.65","603.30","314.24K","-0.07%"
"12-09-2025","605.60","610.00","611.00","604.20","388.48K","-0.11%"
"11-09-2025","606.25","600.40","628.95","598.30","1.88M","1.41%"
"10-09-2025","597.85","597.30","602.70","596.05","398.05K","0.55%"
"09-09-2025","594.60","595.00","598.20","592.05","217.59K","0.39%"
"08-09-2025","592.30","593.10","601.85","590.00","431.82K","0.32%"
"05-09-2025","590.40","597.25","599.75","588.20","268.11K","-0.95%"
"04-09-2025","596.05","597.95","604.95","595.00","298.86K","-0.18%"
"03-09-2025","597.15","598.75","601.30","595.30","286.96K","0.22%"
"02-09-2025","595.85","594.45","603.00","593.00","381.41K","0.29%"
"01-09-2025","594.15","593.90","597.75","592.40","397.21K","0.52%"
"29-08-2025","591.10","593.00","595.00","583.75","839.23K","-0.24%"
"28-08-2025","592.55","626.00","631.65","585.10","3.25M","-6.79%"
"26-08-2025","635.70","630.10","644.50","625.50","1.26M","0.70%"
"25-08-2025","631.25","620.00","633.20","618.15","722.26K","2.19%"
"22-08-2025","617.75","618.00","623.00","613.55","294.23K","-0.03%"
"21-08-2025","617.95","634.00","634.00","616.55","309.97K","-1.97%"
"20-08-2025","630.40","625.10","635.00","625.10","555.89K","0.26%"
"19-08-2025","628.75","625.60","633.30","625.05","473.68K","0.83%"
"18-08-2025","623.55","612.00","629.10","609.05","619.97K","2.67%"
"14-08-2025","607.35","611.00","617.00","605.70","279.63K","-0.31%"
"13-08-2025","609.25","611.85","616.15","604.00","351.33K","-0.42%"
"12-08-2025","611.85","599.00","615.50","596.05","927.36K","2.61%"
"11-08-2025","596.30","585.60","598.95","582.15","529.69K","2.00%"
"08-08-2025","584.60","595.00","598.95","582.00","434.49K","-1.22%"
"07-08-2025","591.85","589.00","594.75","577.10","631.61K","0.48%"
"06-08-2025","589.00","597.10","598.80","586.50","404.41K","-1.15%"
"05-08-2025","595.85","604.00","608.00","593.70","464.53K","-1.69%"
"04-08-2025","606.10","600.85","607.15","594.05","481.11K","1.80%"
"01-08-2025","595.40","617.00","617.00","592.70","827.37K","-1.44%"
"31-07-2025","604.10","620.00","621.50","602.45","970.39K","-3.37%"
"30-07-2025","625.15","633.00","636.10","623.55","330.70K","-0.67%"
"29-07-2025","629.35","628.95","631.00","618.00","620.85K","0.59%"
"28-07-2025","625.65","627.95","638.90","621.10","610.78K","0.25%"
"25-07-2025","624.10","645.30","647.45","622.10","553.06K","-3.20%"
"24-07-2025","644.75","652.00","655.35","642.50","321.77K","-1.13%"
"23-07-2025","652.10","651.80","654.90","647.30","398.21K","0.80%"
"22-07-2025","646.95","661.90","662.30","645.00","445.16K","-1.64%"
"21-07-2025","657.75","655.00","661.90","648.00","416.15K","0.66%"
"18-07-2025","653.45","662.55","664.60","649.15","478.77K","-1.24%"
"17-07-2025","661.65","662.00","666.90","656.15","673.88K","0.27%"
"16-07-2025","659.90","649.80","662.75","649.00","852.51K","1.88%"
"15-07-2025","647.75","651.00","653.45","645.50","467.66K","0.16%"
"14-07-2025","646.70","649.90","656.00","640.00","675.57K","0.30%"
"11-07-2025","644.75","652.00","655.50","641.10","427.79K","-1.10%"
"10-07-2025","651.95","652.75","658.85","650.00","446.18K","0.16%"
"09-07-2025","650.90","657.50","660.80","650.00","564.11K","-0.39%"
"08-07-2025","653.45","659.00","664.40","650.00","523.87K","-0.46%"
"07-07-2025","656.50","663.05","665.00","655.00","440.06K","-0.55%"
"04-07-2025","660.10","664.00","672.60","656.75","732.74K","-0.57%"
"03-07-2025","663.90","665.45","670.00","661.00","391.06K","0.11%"
"02-07-2025","663.20","669.05","672.35","660.30","611.59K","-0.52%"
"01-07-2025","666.70","677.00","684.00","664.30","1.03M","-1.34%"
"30-06-2025","675.75","684.00","687.20","670.00","1.45M","-0.98%"
"27-06-2025","682.45","648.00","693.90","647.80","11.65M","5.72%"
"26-06-2025","645.55","640.00","648.90","634.35","2.07M","1.80%"
"25-06-2025","634.15","635.00","640.75","632.70","1.28M","0.36%"
"24-06-2025","631.85","640.45","644.85","630.00","1.18M","0.34%"
"23-06-2025","629.70","614.55","631.20","608.15","1.17M","2.04%"
"20-06-2025","617.10","622.60","633.55","613.95","4.45M","-0.88%"
"19-06-2025","622.60","654.00","654.00","621.00","1.32M","-4.36%"
"18-06-2025","650.95","646.85","664.50","645.35","925.06K","0.63%"
"17-06-2025","646.85","663.00","663.00","645.00","630.56K","-1.81%"
"16-06-2025","658.80","658.80","662.50","642.80","736.93K","0.00%"
"13-06-2025","658.80","658.90","666.55","654.50","959.67K","-2.07%"
"12-06-2025","672.75","700.00","701.95","670.10","1.18M","-3.56%"
"11-06-2025","697.60","716.00","718.75","692.10","1.33M","-2.17%"
"10-06-2025","713.10","696.00","721.00","690.15","2.79M","3.23%"
"09-06-2025","690.80","686.00","694.00","681.50","911.91K","1.60%"
"06-06-2025","679.95","684.00","692.85","675.60","950.46K","-0.35%"
"05-06-2025","682.35","684.70","690.05","677.30","616.87K","-0.01%"
"04-06-2025","682.45","682.00","684.70","673.10","569.06K","0.53%"
"03-06-2025","678.85","687.05","695.00","675.05","864.47K","-1.67%"
"02-06-2025","690.35","685.00","694.65","676.05","1.10M","0.97%"
"30-05-2025","683.75","680.75","693.00","670.05","1.20M","0.44%"
"29-05-2025","680.75","673.05","684.00","668.00","844.16K","1.15%"
"28-05-2025","673.00","675.00","685.50","670.60","620.45K","-0.19%"
"27-05-2025","674.30","669.70","680.75","664.25","625.89K","0.69%"
"26-05-2025","669.70","664.60","675.50","662.05","733.88K","1.70%"
"23-05-2025","658.50","664.65","666.35","656.60","523.96K","0.07%"
"22-05-2025","658.05","658.90","669.55","651.70","490.77K","-0.80%"
"21-05-2025","663.35","661.25","667.95","656.05","454.88K","0.52%"
"20-05-2025","659.95","678.00","679.50","657.15","818.98K","-2.37%"
"19-05-2025","676.00","685.65","686.95","671.30","996.72K","-0.82%"
"16-05-2025","681.60","661.50","689.50","661.50","2.83M","3.21%"
"15-05-2025","660.40","655.05","662.00","649.95","832.45K","0.66%"
"14-05-2025","656.05","653.90","658.30","646.00","863.69K","1.19%"
"13-05-2025","648.35","634.00","656.00","629.00","1.90M","2.73%"
"12-05-2025","631.10","630.00","640.00","622.15","1.45M","4.99%"
"09-05-2025","601.10","590.55","606.80","587.10","1.36M","-1.42%"
"08-05-2025","609.75","633.25","637.65","604.00","976.52K","-2.51%"
"07-05-2025","625.45","613.65","635.95","611.50","1.27M","-1.18%"
"06-05-2025","632.95","666.90","677.65","630.00","4.15M","-4.90%"
"05-05-2025","665.55","607.00","684.40","603.45","16.75M","10.97%"
"02-05-2025","599.75","599.00","613.90","597.50","518.33K","-0.07%"
"30-04-2025","600.20","612.00","612.00","595.15","411.52K","-1.57%"
"29-04-2025","609.75","621.05","625.00","608.00","629.18K","-1.18%"
"28-04-2025","617.00","600.00","622.20","600.00","1.01M","2.83%"
"25-04-2025","600.00","626.00","629.00","594.00","902.18K","-3.99%"
"24-04-2025","624.95","626.00","631.75","621.55","600.19K","-0.25%"
"23-04-2025","626.50","621.95","629.90","619.35","584.43K","0.91%"
"22-04-2025","620.85","627.20","634.00","618.10","668.29K","-0.54%"
"21-04-2025","624.25","614.00","627.25","609.00","868.60K","2.63%"
"17-04-2025","608.25","607.90","622.25","604.00","928.95K","0.04%"
"16-04-2025","608.00","603.00","610.55","601.05","560.44K","-0.43%"
"15-04-2025","610.65","600.00","612.15","596.55","716.93K","3.14%"
"11-04-2025","592.05","598.00","601.20","587.60","650.83K","2.18%"
"09-04-2025","579.40","584.00","586.00","576.40","348.62K","-0.95%"
"08-04-2025","584.95","587.65","590.00","575.50","585.51K","2.68%"
"07-04-2025","569.70","545.50","578.75","545.50","815.63K","-3.65%"
"04-04-2025","591.30","606.00","608.55","587.10","885.52K","-2.27%"
"03-04-2025","605.05","593.45","610.00","589.25","1.08M","1.05%"
"02-04-2025","598.75","595.00","601.00","578.10","1.33M","1.11%"
"01-04-2025","592.15","599.05","602.85","581.35","1.55M","-1.73%"
"28-03-2025","602.60","615.30","632.50","599.80","1.76M","-1.52%"
"27-03-2025","611.90","597.20","617.20","595.60","6.80M","2.32%"
"26-03-2025","598.05","607.75","618.75","596.70","1.10M","-1.60%"
"25-03-2025","607.75","625.40","631.15","603.95","891.27K","-2.78%"
"24-03-2025","625.10","635.65","641.90","623.00","703.04K","-0.89%"
"21-03-2025","630.70","623.95","638.00","619.00","1.17M","1.78%"
"20-03-2025","619.65","632.00","635.75","615.25","1.01M","-0.47%"
"19-03-2025","622.60","610.00","625.75","610.00","809.64K","2.23%"
"18-03-2025","609.00","607.90","611.00","604.10","573.90K","0.94%"
"17-03-2025","603.35","602.00","609.95","598.20","746.79K","-0.17%"
"13-03-2025","604.35","605.00","619.75","598.20","1.17M","0.64%"
"12-03-2025","600.50","600.95","605.80","580.90","656.36K","0.55%"
"11-03-2025","597.20","600.00","608.30","592.80","676.88K","-1.41%"
"10-03-2025","605.75","607.90","625.80","599.55","1.15M","-0.24%"
"07-03-2025","607.20","596.75","609.50","591.25","828.18K","1.90%"
"06-03-2025","595.90","589.25","602.50","583.30","1.18M","1.02%"
"05-03-2025","589.90","545.00","600.00","544.35","2.61M","7.81%"
"04-03-2025","547.15","549.95","558.00","537.20","621.26K","-0.84%"
"03-03-2025","551.80","559.40","564.15","532.60","1.09M","-0.96%"
"28-02-2025","557.15","579.85","579.85","555.00","900.37K","-4.06%"
"27-02-2025","580.75","583.05","596.60","572.85","1.47M","0.29%"
"25-02-2025","579.05","575.40","593.95","565.65","1.27M","0.63%"
"24-02-2025","575.40","581.70","581.70","571.65","437.30K","-1.09%"
"21-02-2025","581.75","590.00","600.00","578.00","590.97K","-1.01%"
"20-02-2025","587.70","579.15","589.70","570.50","577.25K","0.87%"
"19-02-2025","582.65","567.60","583.95","564.80","544.27K","0.56%"
"18-02-2025","579.40","575.75","581.30","566.00","583.94K","0.86%"
"17-02-2025","574.45","573.70","579.35","560.85","574.20K","0.12%"
"14-02-2025","573.75","603.00","607.00","569.35","823.99K","-3.93%"
"13-02-2025","597.20","601.90","608.50","590.50","497.02K","0.24%"
"12-02-2025","595.75","599.00","605.00","580.80","860.86K","-0.03%"
"11-02-2025","595.95","611.85","620.90","593.00","1.04M","-2.07%"
"10-02-2025","608.55","634.75","645.00","605.20","706.92K","-3.32%"
"07-02-2025","629.45","638.50","639.45","623.00","412.87K","-0.83%"
"06-02-2025","634.70","645.00","645.75","631.35","276.72K","-0.95%"
"05-02-2025","640.80","629.00","647.45","628.95","522.79K","1.88%"
"04-02-2025","628.95","626.00","634.35","622.80","401.01K","1.39%"
"03-02-2025","620.35","629.95","630.25","618.45","467.43K","-2.27%"
"01-02-2025","634.75","647.50","654.40","625.75","745.12K","-1.30%"
"31-01-2025","643.10","639.95","649.80","635.00","895.97K","0.25%"
"30-01-2025","641.50","625.00","647.40","622.60","1.49M","2.83%"
"29-01-2025","623.85","616.85","628.00","613.05","971.74K","1.27%"
"28-01-2025","616.05","619.40","627.15","607.40","790.37K","-0.54%"
"27-01-2025","619.40","640.95","640.95","611.70","1.28M","-3.45%"
"24-01-2025","641.50","660.00","663.70","638.00","469.30K","-2.54%"
"23-01-2025","658.25","656.00","664.45","651.60","491.70K","0.44%"
"22-01-2025","655.35","666.65","669.85","642.50","718.25K","-1.64%"
"21-01-2025","666.30","675.50","679.00","664.50","695.06K","-1.40%"
"20-01-2025","675.75","675.20","680.00","666.10","662.55K","0.39%"
"17-01-2025","673.15","679.90","680.00","668.60","890.19K","-0.03%"
"16-01-2025","673.35","696.00","708.00","669.55","1.99M","1.68%"
"15-01-2025","662.25","671.85","687.65","658.00","2.36M","-1.13%"
"14-01-2025","669.80","637.75","711.00","635.80","11.80M","6.62%"
"13-01-2025","628.20","675.00","675.00","620.60","1.73M","-7.79%"
"10-01-2025","681.25","700.00","708.65","669.00","1.77M","-0.13%"
"09-01-2025","682.15","702.50","705.00","680.00","603.35K","-3.23%"
"08-01-2025","704.95","704.95","708.35","693.05","472.34K","0.23%"
"07-01-2025","703.30","707.85","717.90","700.00","641.98K","-0.07%"
"06-01-2025","703.80","725.05","726.00","697.10","811.37K","-3.28%"
"03-01-2025","727.65","734.50","750.80","725.00","799.04K","-0.93%"
"02-01-2025","734.45","749.00","749.45","731.80","1.19M","-2.09%"
"01-01-2025","750.10","751.00","766.60","745.00","1.80M","-1.44%"
"31-12-2024","761.05","754.35","778.70","719.30","4.82M","1.32%"
"30-12-2024","751.15","676.00","781.15","674.60","6.19M","10.58%"
"27-12-2024","679.30","675.55","685.00","670.00","528.35K","1.09%"
"26-12-2024","672.00","674.00","685.80","668.60","867.41K","0.16%"
"24-12-2024","670.95","671.00","679.90","665.25","597.18K","0.22%"
"23-12-2024","669.50","680.00","686.35","666.00","805.38K","-0.72%"
"20-12-2024","674.35","697.00","712.45","666.15","1.12M","-3.28%"
"19-12-2024","697.25","690.00","701.70","686.10","562.04K","-0.65%"
"18-12-2024","701.80","715.55","719.65","699.50","672.24K","-1.80%"
"17-12-2024","714.65","713.90","723.55","705.10","904.26K","0.27%"
"16-12-2024","712.70","717.75","723.65","711.10","688.85K","-0.72%"
"13-12-2024","717.85","728.90","733.00","709.05","1.34M","-1.72%"
"12-12-2024","730.40","720.95","755.65","712.30","4.46M","1.80%"
"11-12-2024","717.50","712.10","726.50","708.05","1.06M","0.29%"
"10-12-2024","715.45","730.00","734.35","714.00","1.01M","-1.93%"
"09-12-2024","729.50","731.05","737.50","722.05","746.95K","-0.21%"
"06-12-2024","731.05","744.80","751.45","728.00","1.26M","-1.73%"
"05-12-2024","743.95","754.70","754.70","735.20","1.46M","-0.36%"
"04-12-2024","746.65","766.50","776.35","740.50","2.00M","-2.56%"
"03-12-2024","766.25","780.30","789.00","762.00","2.34M","-0.82%"
"02-12-2024","772.55","812.00","815.30","770.00","3.97M","-4.90%"
"29-11-2024","812.35","809.40","862.00","788.55","20.90M","1.06%"
"28-11-2024","803.85","715.55","824.30","712.10","19.66M","15.82%"
"27-11-2024","694.05","580.05","695.30","572.55","11.56M","19.78%"
"26-11-2024","579.45","605.00","607.20","577.00","1.85M","-3.49%"
"25-11-2024","600.40","636.35","641.85","592.30","1.89M","-1.43%"
"22-11-2024","609.10","570.60","624.40","567.00","4.88M","1.20%"
"21-11-2024","601.90","555.00","619.80","545.75","7.75M","-10.40%"
"19-11-2024","671.75","665.00","683.70","662.30","353.63K","0.28%"
"18-11-2024","669.90","665.00","673.00","652.15","1.14M","-2.05%"
"14-11-2024","683.90","687.10","693.70","677.65","283.81K","0.74%"
"13-11-2024","678.90","701.00","706.90","673.55","439.50K","-3.18%"
"12-11-2024","701.20","700.05","713.25","697.60","259.02K","-0.09%"
"11-11-2024","701.80","708.75","712.35","700.00","256.49K","-1.52%"
"08-11-2024","712.60","720.95","726.10","710.50","269.75K","-1.81%"
"07-11-2024","725.70","742.30","746.65","722.05","314.55K","-2.24%"
"06-11-2024","742.30","720.05","752.00","720.05","690.23K","2.80%"
"05-11-2024","722.05","707.00","726.00","706.35","365.38K","1.50%"
"04-11-2024","711.35","718.00","720.05","708.15","301.86K","-1.60%"
"01-11-2024","722.95","721.80","725.55","720.00","77.97K","0.64%"
"31-10-2024","718.35","713.55","727.00","713.55","392.90K","0.67%"
"30-10-2024","713.55","708.00","727.70","705.00","460.36K","0.37%"
"29-10-2024","710.90","707.15","716.60","705.85","358.30K","-0.17%"
"28-10-2024","712.10","719.10","726.70","700.05","768.39K","-1.66%"
"25-10-2024","724.15","754.85","760.00","712.80","1.43M","-4.08%"
"24-10-2024","754.95","695.65","773.80","695.55","3.16M","7.78%"
"23-10-2024","700.45","692.00","705.00","682.25","614.60K","1.24%"
"22-10-2024","691.85","715.25","728.00","684.70","740.84K","-3.94%"
"21-10-2024","720.20","730.00","737.95","715.25","319.72K","-1.69%"
"18-10-2024","732.60","730.00","749.90","716.95","540.65K","-0.34%"
"17-10-2024","735.10","742.35","749.95","733.00","360.44K","-1.57%"
"16-10-2024","746.80","745.15","754.70","744.05","313.18K","0.12%"
"15-10-2024","745.90","750.00","754.35","744.25","303.91K","-1.12%"
"14-10-2024","754.35","755.00","763.05","752.20","250.14K","-0.40%"
"11-10-2024","757.35","754.00","773.00","754.00","709.75K","-0.03%"
"10-10-2024","757.60","755.95","767.85","753.00","317.48K","0.06%"
"09-10-2024","757.15","760.00","771.50","752.80","452.79K","-0.37%"
"08-10-2024","759.95","736.65","764.95","728.05","745.88K","2.50%"
"07-10-2024","741.45","758.55","769.70","738.20","678.39K","-2.88%"
"04-10-2024","763.40","770.05","778.35","758.15","552.01K","-1.15%"
"03-10-2024","772.25","778.00","782.85","770.40","540.03K","-1.81%"
"01-10-2024","786.45","784.05","794.35","784.05","422.97K","-0.01%"
"30-09-2024","786.50","784.55","793.00","779.25","519.81K","0.35%"
"27-09-2024","783.75","793.00","802.90","780.00","724.13K","-1.05%"
"26-09-2024","792.10","801.00","805.60","790.10","698.51K","-1.12%"
"25-09-2024","801.10","810.00","812.95","799.00","646.96K","-1.46%"
"24-09-2024","812.95","830.00","831.95","810.00","1.52M","-2.68%"
"23-09-2024","835.35","845.00","855.00","822.95","6.12M","5.91%"
"20-09-2024","788.70","777.90","795.70","775.60","903.22K","1.61%"
"19-09-2024","776.20","792.00","800.00","773.05","711.87K","-2.17%"
"18-09-2024","793.45","799.50","804.75","792.00","393.36K","-0.76%"
"17-09-2024","799.50","807.20","810.75","798.00","467.55K","-0.90%"
"16-09-2024","806.75","802.00","825.00","802.00","1.04M","0.75%"
"13-09-2024","800.75","801.00","809.75","798.00","552.28K","-0.63%"
"12-09-2024","805.80","804.80","813.90","798.00","531.08K","0.12%"
"11-09-2024","804.80","813.55","819.95","800.00","443.30K","-1.08%"
"10-09-2024","813.55","817.90","824.60","812.00","451.63K","-0.15%"
"09-09-2024","814.75","826.05","830.40","808.30","647.58K","-1.45%"
"06-09-2024","826.75","840.00","846.75","823.60","559.99K","-2.04%"
"05-09-2024","844.00","851.65","856.40","841.20","356.22K","-1.23%"
"04-09-2024","854.55","840.00","858.95","837.60","4.05M","0.41%"
"03-09-2024","851.10","847.80","855.00","842.85","3.73M","0.38%"
"02-09-2024","847.85","832.00","852.30","830.80","3.68M","2.11%"
"30-08-2024","830.35","838.00","843.80","826.00","860.29K","-0.85%"
"29-08-2024","837.50","845.05","847.55","833.20","2.34M","-1.33%"
"28-08-2024","848.80","853.50","859.00","840.10","3.04M","-0.88%"
"27-08-2024","856.35","856.00","861.00","852.25","3.49M","0.03%"
"26-08-2024","856.10","859.05","865.00","854.00","4.72M","-0.26%"
"23-08-2024","858.30","858.15","866.65","849.25","5.46M","-0.30%"
"22-08-2024","860.90","861.00","867.50","858.00","4.42M","0.22%"
"21-08-2024","859.05","857.05","868.85","855.00","4.04M","-0.01%"
"20-08-2024","859.10","855.05","863.50","850.95","4.69M","0.32%"
"19-08-2024","856.35","846.50","860.80","846.05","4.95M","0.97%"
"16-08-2024","848.15","845.90","852.40","840.05","4.75M","0.58%"
"14-08-2024","843.25","850.00","853.90","833.00","5.15M","-0.95%"
"13-08-2024","851.35","867.75","867.75","844.95","5.10M","2.05%"
"12-08-2024","834.25","839.95","844.40","752.35","5.53M","-4.09%"
"09-08-2024","869.85","885.00","886.70","865.20","2.07M","-0.59%"
"08-08-2024","875.00","879.95","888.00","873.20","3.00M","-0.05%"
"07-08-2024","875.40","880.00","882.90","869.25","4.25M","0.84%"
"06-08-2024","868.10","865.00","892.85","860.05","2.72M","1.29%"
"05-08-2024","857.05","890.00","896.45","851.00","2.92M","-5.70%"
"02-08-2024","908.90","905.00","922.00","901.00","2.29M","-0.73%"
"01-08-2024","915.55","883.00","941.90","883.00","6.49M","2.23%"
"31-07-2024","895.55","898.40","909.50","891.10","984.37K","-0.09%"
"30-07-2024","896.40","900.00","906.90","892.00","1.36M","0.39%"
"29-07-2024","892.95","900.00","924.40","889.00","2.78M","0.51%"
"26-07-2024","888.45","888.70","916.85","882.20","2.84M","0.74%"
"25-07-2024","881.95","883.00","902.00","878.05","925.39K","-0.95%"
"24-07-2024","890.45","882.00","895.00","880.50","3.97M","1.29%"
"23-07-2024","879.15","886.30","909.95","857.00","3.57M","-0.78%"
"22-07-2024","886.10","881.55","896.10","874.50","3.33M","-0.27%"
"19-07-2024","888.50","893.00","894.00","883.95","2.64M","-0.18%"
"18-07-2024","890.10","906.00","906.00","885.60","3.50M","-1.75%"
"16-07-2024","906.00","904.55","915.80","897.60","3.12M","1.16%"
"15-07-2024","895.60","893.50","904.40","886.10","2.51M","0.27%"
"12-07-2024","893.20","894.60","902.05","889.20","2.04M","-0.16%"
"11-07-2024","894.60","891.90","898.10","880.75","1.60M","0.44%"
"10-07-2024","890.65","901.00","904.40","883.00","729.46K","-0.13%"
"09-07-2024","891.85","893.70","917.40","887.55","1.72M","0.93%"
"08-07-2024","883.65","894.05","899.00","882.00","765.39K","-0.83%"
"05-07-2024","891.05","904.10","904.10","890.00","873.34K","-0.60%"
"04-07-2024","896.45","905.00","908.90","895.00","799.59K","-0.96%"
"03-07-2024","905.15","914.80","916.65","901.35","1.03M","0.06%"
"02-07-2024","904.60","896.95","938.00","889.50","3.84M","1.86%"
"01-07-2024","888.05","896.55","902.00","883.00","1.06M","-0.89%"
"28-06-2024","896.00","903.00","906.00","895.00","657.82K","-0.75%"
"27-06-2024","902.80","900.00","907.00","892.00","870.31K","1.02%"
"26-06-2024","893.65","899.80","910.50","889.00","1.25M","0.47%"
"25-06-2024","889.50","911.75","920.00","886.25","1.22M","-2.44%"
"24-06-2024","911.75","920.55","923.90","909.65","1.16M","-1.21%"
"21-06-2024","922.95","926.00","930.70","918.40","1.07M","-0.30%"
"20-06-2024","925.75","928.00","942.00","924.00","1.12M","-0.18%"
"19-06-2024","927.40","943.40","947.80","922.05","873.59K","-1.37%"
"18-06-2024","940.25","948.20","957.85","937.80","1.25M","-0.66%"
"14-06-2024","946.50","947.15","960.00","942.20","784.68K","0.07%"
"13-06-2024","945.80","952.25","960.00","943.00","866.10K","-0.62%"
"12-06-2024","951.70","959.80","964.80","950.00","795.01K","-0.54%"
"11-06-2024","956.85","977.90","977.90","955.00","1.70M","-1.44%"
"10-06-2024","970.80","996.00","1,013.95","965.30","2.04M","-0.75%"
"07-06-2024","978.10","969.40","989.90","949.90","2.16M","0.88%"
"06-06-2024","969.55","965.00","993.00","956.20","3.25M","3.56%"
"05-06-2024","936.25","927.05","966.00","824.25","6.67M","3.03%"
"04-06-2024","908.70","1,115.00","1,115.00","901.00","12.47M","-18.82%"
"03-06-2024","1,119.40","1,190.00","1,190.00","1,101.70","10.56M","7.71%"
"31-05-2024","1,039.30","966.00","1,060.00","958.15","8.55M","8.80%"
"30-05-2024","955.20","952.00","966.00","946.05","1.02M","0.47%"
"29-05-2024","950.75","954.65","965.00","945.00","983.88K","-0.10%"
"28-05-2024","951.70","979.00","983.65","950.00","1.38M","-2.15%"
"27-05-2024","972.60","990.00","1,008.00","969.55","1.82M","-0.73%"
"24-05-2024","979.75","956.70","1,002.70","950.00","4.03M","2.41%"
"23-05-2024","956.70","941.55","976.00","926.20","2.96M","2.34%"
"22-05-2024","934.85","939.00","946.45","928.50","1.08M","0.52%"
"21-05-2024","930.05","914.80","964.10","905.15","2.69M","1.89%"
"18-05-2024","912.80","912.80","912.80","912.80","","-0.09%"
"17-05-2024","913.65","909.55","917.40","902.10","606.70K","0.76%"
"16-05-2024","906.80","923.00","924.15","901.25","642.36K","-1.07%"
"15-05-2024","916.60","914.90","930.75","909.20","1.04M","0.84%"
"14-05-2024","908.95","866.50","932.80","862.10","2.93M","5.46%"
"13-05-2024","861.85","875.00","889.95","849.10","784.49K","-0.60%"
"10-05-2024","867.05","879.60","889.00","858.55","887.02K","-1.31%"
"09-05-2024","878.55","893.65","908.95","874.00","969.88K","-1.90%"
"08-05-2024","895.60","903.90","906.00","891.00","2.66M","-0.83%"
"07-05-2024","903.10","917.50","921.95","900.45","2.95M","-1.53%"
"06-05-2024","917.15","930.40","930.55","905.10","2.77M","-1.42%"
"03-05-2024","930.40","932.85","936.90","922.50","2.47M","-0.19%"
"02-05-2024","932.15","955.00","969.85","925.00","2.51M","0.33%"
"30-04-2024","929.10","924.10","947.65","921.30","1.08M","1.09%"
"29-04-2024","919.05","926.00","927.00","918.00","513.38K","-0.01%"
"26-04-2024","919.15","920.00","926.95","918.00","569.18K","0.11%"
"25-04-2024","918.15","919.20","921.95","912.05","573.79K","-0.15%"
"24-04-2024","919.50","929.90","929.90","915.20","536.97K","-0.40%"
"23-04-2024","923.15","919.55","931.35","919.55","549.19K","0.50%"
"22-04-2024","918.55","930.00","930.00","916.90","517.42K","0.67%"
"19-04-2024","912.40","910.00","919.00","898.00","982.96K","-0.84%"
"18-04-2024","920.15","936.20","955.70","917.00","861.75K","-0.82%"
"16-04-2024","927.75","926.25","936.45","919.95","704.15K","0.16%"
"15-04-2024","926.25","920.00","938.00","906.30","1.36M","-2.30%"
"12-04-2024","948.05","957.10","970.00","942.85","755.79K","-1.38%"
"10-04-2024","961.30","965.00","967.30","956.50","502.07K","-0.09%"
"09-04-2024","962.15","970.45","976.00","960.10","692.15K","-0.48%"
"08-04-2024","966.80","986.95","988.00","963.10","1.14M","-1.25%"
"05-04-2024","979.00","983.95","989.00","970.55","2.99M","-0.53%"
"04-04-2024","984.20","985.90","996.40","980.10","3.04M","0.85%"
"03-04-2024","975.90","974.95","987.70","965.30","3.14M","-0.04%"
"02-04-2024","976.25","972.00","984.95","963.65","3.30M","0.69%"
"01-04-2024","969.55","947.95","1,000.00","945.00","2.88M","4.64%"
"28-03-2024","926.55","932.00","939.10","912.75","3.47M","0.73%"
"27-03-2024","919.80","955.00","959.65","910.00","3.94M","-3.09%"
"26-03-2024","949.10","938.85","968.90","937.10","3.00M","1.09%"
"22-03-2024","938.85","941.95","948.65","933.10","820.69K","0.30%"
"21-03-2024","936.05","955.00","955.00","930.00","910.39K","-0.01%"
"20-03-2024","936.10","954.50","961.45","928.25","1.21M","-0.91%"
"19-03-2024","944.65","960.00","974.95","927.35","4.20M","-0.27%"
